Mon Apr 28 11:08:13 2025


Number of Points = 8430

Depth (nm)	Load (µN)	Time (s)
30.627542	1709.608610	0.000000
30.541317	1754.094507	0.005005
30.779510	1763.305982	0.010010
-157.325988	-74.257700	1.020979
-158.702539	10.312520	1.025984
-159.959419	-9.033989	1.030989
-161.120066	-7.866571	1.035994
-162.090478	-97.718358	1.040998
-162.992217	-34.523264	1.046003
-163.976454	-53.062499	1.051008
-165.151354	13.570379	1.056013
-165.996679	27.575626	1.061018
-167.034188	-31.513724	1.066022
-168.099197	-93.999120	1.071027
-169.078025	-17.955690	1.076032
-170.141437	53.709829	1.081037
-171.221290	-48.838292	1.086042
-172.178851	-23.975980	1.091046
-173.060117	3.176382	1.096051
-174.026220	-26.838472	1.101056
-175.118040	-9.855556	1.106061
-176.086582	-47.031618	1.111066
-177.100902	12.671652	1.116070
-178.250960	-47.104874	1.121075
-179.020697	-53.910833	1.126080
-180.188932	-9.242297	1.131085
-181.150909	10.062231	1.136090
-182.005084	-36.619379	1.141094
-183.129358	-35.076279	1.146099
-184.141791	29.021324	1.151104
-185.075114	-54.908310	1.156109
-186.143554	-14.869540	1.161114
-187.160821	-28.839564	1.166118
-187.979254	-14.668278	1.171123
-188.861766	-94.846447	1.176128
-189.951625	-6.881983	1.181133
-191.150823	8.735809	1.186138
-191.995140	-21.145813	1.191142
-193.006648	53.394198	1.196147
-194.117907	44.940958	1.201152
-195.100306	-4.087834	1.206157
-195.938577	-15.865963	1.211162
-196.992947	-23.800438	1.216166
-197.798033	-77.372965	1.221171
-199.062181	-48.134785	1.226176
-200.265158	13.612190	1.231181
-201.134563	-59.696471	1.236186
-202.301437	-18.922397	1.241190
-203.280060	-14.699999	1.246195
-204.213960	-57.322058	1.251200
-205.164897	13.077437	1.256205
-206.126495	-22.786200	1.261210
-207.066454	-33.164276	1.266214
-208.315139	-14.536740	1.271219
-209.174403	-58.662098	1.276224
-210.254072	-14.186875	1.281229
-211.213166	3.839612	1.286234
-212.160454	8.764912	1.291238
-213.090744	-58.224480	1.296243
-214.191527	-16.383890	1.301248
-215.179476	20.334144	1.306253
-216.113854	-81.662842	1.311258
-217.269697	-45.062094	1.316262
-218.144073	-16.384416	1.321267
-219.017538	-45.279145	1.326272
-219.842336	5.418568	1.331277
-221.025297	-14.754512	1.336282
-221.995785	54.299656	1.341286
-223.049930	7.011225	1.346291
-224.143760	-2.524692	1.351296
-225.044327	10.811211	1.356301
-226.054125	-29.831223	1.361306
-227.038780	-8.590430	1.366310
-227.932028	-29.502333	1.371315
-229.163844	48.619952	1.376320
-229.984891	20.345610	1.381325
-231.186206	0.279096	1.386330
-232.012984	-3.213885	1.391334
-233.076557	16.025857	1.396339
-234.039429	-2.370234	1.401344
-235.053595	-74.752058	1.406349
-236.092756	-24.606208	1.411354
-237.261142	-69.813883	1.416358
-237.930603	-29.562493	1.421363
-239.176624	-45.731890	1.426368
-240.393925	-49.953565	1.431373
-241.060635	-24.740947	1.436378
-242.159515	-19.825644	1.441382
-243.214550	-20.484895	1.446387
-244.126985	-23.347151	1.451392
-245.252488	-42.513231	1.456397
-246.267807	-25.744316	1.461402
-247.254587	-2.499324	1.466406
-248.185038	-6.482229	1.471411
-249.279278	-20.012106	1.476416
-250.168528	4.476284	1.481421
-251.042078	-39.355983	1.486426
-252.273108	0.914678	1.491430
-253.041080	-35.090883	1.496435
-254.242705	4.355739	1.501440
-255.369249	-65.745792	1.506445
-256.029254	-52.756070	1.511450
-257.192157	-25.881556	1.516454
-258.108954	-80.203932	1.521459
-259.181571	-49.717075	1.526464
-260.154733	6.679147	1.531469
-261.193146	-45.322339	1.536474
-262.195316	-27.330845	1.541478
-263.210464	-31.647458	1.546483
-264.162286	20.183741	1.551488
-265.425235	-20.395860	1.556493
-266.221409	-13.569391	1.561498
-267.353589	-24.156090	1.566502
-268.275190	14.655213	1.571507
-269.354499	-0.933212	1.576512
-270.407142	-34.824192	1.581517
-271.287700	-11.891375	1.586522
-272.346333	-34.849334	1.591526
-273.219647	-41.130759	1.596531
-274.444494	-36.221754	1.601536
-275.459308	-13.129725	1.606541
-276.382738	-9.602274	1.611546
-277.321781	-67.134804	1.616550
-278.375562	-10.585432	1.621555
-279.382282	-52.230291	1.626560
-280.093891	-15.532692	1.631565
-281.184967	13.270393	1.636570
-282.314949	1.255590	1.641574
-283.092412	-6.110788	1.646579
-284.207284	-24.278668	1.651584
-285.342673	5.804409	1.656589
-286.292822	42.008798	1.661594
-287.144426	-4.422851	1.666598
-288.304422	11.382185	1.671603
-289.208649	-39.413535	1.676608
-290.330075	34.588809	1.681613
-291.504546	-84.616183	1.686618
-292.300781	11.648566	1.691622
-293.310816	-2.035484	1.696627
-294.323729	-22.392271	1.701632
-295.258593	-18.560276	1.706637
-296.269749	-32.356593	1.711642
-297.343589	-42.875692	1.716646
-298.261057	-59.734548	1.721651
-299.353677	-44.403605	1.726656
-300.435115	-47.833116	1.731661
-301.502138	-16.408893	1.736666
-302.396407	3.173144	1.741670
-303.422260	-89.500884	1.746675
-304.345308	-12.487225	1.751680
-305.509701	-23.926516	1.756685
-306.421957	-59.856766	1.761690
-307.337388	-19.507444	1.766694
-308.278292	6.789569	1.771699
-309.429467	-90.573965	1.776704
-310.130104	-64.285177	1.781709
-311.305194	-65.127875	1.786714
-312.498803	-12.887261	1.791718
-313.359900	-35.638004	1.796723
-314.281028	-46.748350	1.801728
-315.522207	-71.508415	1.806733
-316.413769	-79.423588	1.811738
-317.310341	-30.215877	1.816742
-318.363856	-42.432263	1.821747
-319.592001	9.494860	1.826752
-320.415406	12.048740	1.831757
-321.357702	-41.788767	1.836762
-322.316817	-9.850923	1.841766
-323.450622	-58.425735	1.846771
-324.329860	-89.083398	1.851776
-325.318778	-66.338272	1.856781
-326.234911	-67.971836	1.861786
-327.234520	-53.787390	1.866790
-328.351203	-21.744838	1.871795
-329.514165	-7.441119	1.876800
-330.523629	-2.719160	1.881805
-331.442906	-71.364456	1.886810
-332.372518	-10.625819	1.891814
-333.444219	-25.640562	1.896819
-334.430617	-7.654223	1.901824
-335.559807	-57.570321	1.906829
-336.497354	-75.473802	1.911834
-337.532406	-25.253889	1.916838
-338.315976	-37.050402	1.921843
-339.508138	44.489322	1.926848
-340.421369	-18.010323	1.931853
-341.358729	-30.392084	1.936858
-342.460765	-44.695068	1.941862
-343.180564	-77.874594	1.946867
-344.344833	-24.404461	1.951872
-345.560077	-51.890437	1.956877
-346.376734	1.421681	1.961882
-347.480215	27.637501	1.966886
-348.390171	23.034373	1.971891
-349.234553	4.159492	1.976896
-350.351624	-29.270487	1.981901
-351.523493	-15.902659	1.986906
-352.441460	6.104348	1.991910
-353.568996	14.711334	1.996915
-354.492777	8.635538	2.001920
-355.671898	57.666086	2.006925
-356.533581	18.613162	2.011930
-357.496247	14.867267	2.016934
-358.790240	-5.967716	2.021939
-359.415219	-25.745005	2.026944
-360.379735	18.478079	2.031949
-361.495356	-52.315259	2.036954
-362.471855	-51.185626	2.041958
-363.675676	45.208222	2.046963
-364.699187	-2.277822	2.051968
-365.634964	-23.762863	2.056973
-366.544958	10.073861	2.061978
-367.538100	-49.229988	2.066982
-368.414084	-31.281827	2.071987
-369.392833	-24.003533	2.076992
-370.358199	-48.508365	2.081997
-371.362877	-47.656904	2.087002
-372.377501	-3.992416	2.092006
-373.536638	3.448641	2.097011
-374.416776	-13.397821	2.102016
-375.485477	-51.377030	2.107021
-376.544212	-46.800561	2.112026
-377.421090	68.211558	2.117030
-378.503168	-19.033664	2.122035
-379.465754	3.614970	2.127040
-380.465411	-10.823521	2.132045
-381.458505	-29.008076	2.137050
-382.650825	-18.362596	2.142054
-383.614114	-40.000766	2.147059
-384.617208	3.058769	2.152064
-385.550805	-20.505441	2.157069
-386.505419	-31.278317	2.162074
-387.679460	19.816493	2.167078
-388.622918	37.587854	2.172083
-389.519932	-57.584591	2.177088
-390.608032	-97.685479	2.182093
-391.732764	31.285752	2.187098
-392.572172	-9.364860	2.192102
-393.566377	-15.516217	2.197107
-394.534706	-37.002337	2.202112
-395.554247	-57.982341	2.207117
-396.557123	13.249573	2.212122
-397.593461	-36.272696	2.217126
-399.032873	24.330089	2.222131
-399.584258	-6.941951	2.227136
-400.762711	-31.059696	2.232141
-401.592029	-34.125433	2.237146
-402.453143	-70.949419	2.242150
-403.058840	-7.994048	2.247155
-404.339374	15.816788	2.252160
-405.087048	-46.890118	2.257165
-406.250885	-75.845977	2.262170
-407.419038	-21.723138	2.267174
-408.435577	-62.011600	2.272179
-409.441571	-8.245494	2.277184
-410.570385	-0.589395	2.282189
-411.465314	-21.549994	2.287194
-412.486769	-42.904897	2.292198
-413.488635	-22.558925	2.297203
-414.425749	-27.615620	2.302208
-415.535805	-12.503453	2.307213
-416.729860	-16.118696	2.312218
-417.478798	-24.370952	2.317222
-418.497833	-27.859108	2.322227
-419.520383	12.052016	2.327232
-420.674162	-38.343399	2.332237
-421.548101	-4.218521	2.337242
-422.568165	-100.938036	2.342246
-423.636922	-21.594713	2.347251
-424.619857	-76.356553	2.352256
-425.618755	11.389315	2.357261
-426.660385	-28.865364	2.362266
-427.613795	56.298093	2.367270
-428.740132	-77.271780	2.372275
-429.704559	-24.233772	2.377280
-430.748379	17.663115	2.382285
-431.622696	-23.751478	2.387290
-432.543498	11.166034	2.392294
-433.456069	-17.313520	2.397299
-434.606322	-60.047122	2.402304
-435.488583	-29.850959	2.407309
-436.670343	8.976072	2.412314
-437.657010	-57.604349	2.417318
-438.775608	41.452175	2.422323
-439.669859	-28.415898	2.427328
-440.685364	-60.077537	2.432333
-441.886347	12.901106	2.437338
-442.683526	-69.646801	2.442342
-444.047268	32.725229	2.447347
-444.804139	-1.568051	2.452352
-445.793958	-22.921269	2.457357
-446.856635	-9.803731	2.462362
-447.707127	-11.897824	2.467366
-448.699401	-51.606024	2.472371
-449.551981	-31.624770	2.477376
-450.815150	-42.252659	2.482381
-451.801247	-45.789656	2.487386
-452.785328	-45.207923	2.492390
-453.809436	-21.974223	2.497395
-454.800940	34.090991	2.502400
-455.825841	-70.677830	2.507405
-456.856433	-20.459026	2.512410
-457.855463	6.685107	2.517414
-458.894544	-28.023443	2.522419
-459.666947	-36.392608	2.527424
-460.911186	-14.284453	2.532429
-461.721874	-33.621287	2.537434
-462.681103	20.529509	2.542438
-463.773533	3.631925	2.547443
-464.756863	-52.757356	2.552448
-465.553403	-25.771199	2.557453
-466.767154	18.939472	2.562458
-467.646706	-16.062351	2.567462
-468.563401	3.603198	2.572467
-469.745157	50.155956	2.577472
-470.800220	-6.709351	2.582477
-471.600662	-26.012148	2.587482
-472.686377	-52.302758	2.592486
-473.869052	20.006060	2.597491
-474.646319	-27.114074	2.602496
-475.713389	4.110578	2.607501
-476.931359	57.950705	2.612506
-477.899335	84.746163	2.617510
-478.655406	-1.359581	2.622515
-479.741837	5.681127	2.627520
-480.723175	-23.750954	2.632525
-481.745256	-33.949040	2.637530
-482.850693	3.424280	2.642534
-483.757337	-30.078025	2.647539
-484.752886	28.881040	2.652544
-485.814664	64.273506	2.657549
-486.798657	-35.325757	2.662554
-487.982177	-12.487291	2.667558
-488.676053	-28.133321	2.672563
-489.857769	-19.932580	2.677568
-490.738766	-12.812935	2.682573
-491.755085	-44.010769	2.687578
-492.959874	-22.780115	2.692582
-494.060117	-17.712874	2.697587
-494.827767	-9.743593	2.702592
-495.772873	-1.011479	2.707597
-496.611524	-28.176646	2.712602
-497.549841	-55.820511	2.717606
-498.784963	-50.743960	2.722611
-499.869845	-67.556269	2.727616
-500.836608	-48.048549	2.732621
-501.933964	-12.243114	2.737626
-502.984287	-4.037864	2.742630
-503.825472	-11.381297	2.747635
-504.867076	-4.381089	2.752640
-505.846567	23.019407	2.757645
-506.690601	-59.950157	2.762650
-508.007541	11.604065	2.767654
-508.748093	-25.123668	2.772659
-509.972948	44.107329	2.777664
-510.881702	3.556461	2.782669
-511.961190	-1.412787	2.787674
-512.911692	23.460931	2.792678
-513.943126	4.551565	2.797683
-515.198644	-53.207817	2.802688
-515.838002	10.272827	2.807693
-516.716318	-36.549040	2.812698
-517.869741	-21.183433	2.817702
-518.837505	-22.773220	2.822707
-519.937125	6.747547	2.827712
-521.020328	-41.768557	2.832717
-521.889017	-18.976736	2.837722
-523.012433	-35.437491	2.842726
-523.804196	-0.977727	2.847731
-524.930420	-11.464972	2.852736
-526.036773	5.249131	2.857741
-526.866297	-21.731270	2.862746
-527.839992	34.090095	2.867750
-528.810405	-3.784773	2.872755
-529.714538	-77.993553	2.877760
-530.842399	-21.805723	2.882765
-531.626415	6.265653	2.887770
-532.790973	-0.163931	2.892774
-533.648196	-86.321523	2.897779
-534.774465	-20.568182	2.902784
-535.810960	-49.617667	2.907789
-536.676666	41.851157	2.912794
-537.838171	-0.226938	2.917798
-539.062366	40.743941	2.922803
-539.899299	-77.700014	2.927808
-540.978946	20.792249	2.932813
-541.805343	43.331606	2.937818
-542.945306	16.121065	2.942822
-543.752023	-31.013555	2.947827
-544.898485	26.420508	2.952832
-546.079371	-12.232524	2.957837
-546.993334	-18.235775	2.962842
-548.046670	43.410606	2.967846
-549.131897	-67.697330	2.972851
-549.854034	-56.075050	2.977856
-550.953398	-29.045971	2.982861
-552.234846	56.832850	2.987866
-553.134827	-3.992468	2.992870
-554.216166	-33.502089	2.997875
-555.160249	-13.638898	3.002880
-555.780421	-73.033708	3.007885
-556.934096	-20.004611	3.012890
-557.955596	-56.847264	3.017894
-558.709687	-87.672575	3.022899
-559.974299	4.285409	3.027904
-561.087574	18.134770	3.032909
-561.947165	38.469502	3.037914
-562.929102	-7.777769	3.042918
-563.853168	-5.789014	3.047923
-564.934256	-35.361266	3.052928
-565.887463	-0.256758	3.057933
-567.054380	-36.385221	3.062938
-567.907541	7.837390	3.067942
-569.063031	-62.039188	3.072947
-570.134221	-2.652961	3.077952
-571.155973	-32.633968	3.082957
-571.946054	-76.017831	3.087962
-572.922213	-8.964243	3.092966
-574.004466	7.942040	3.097971
-574.932260	-47.614519	3.102976
-576.035068	-14.862010	3.107981
-577.283550	-17.793838	3.112986
-578.206859	-54.370029	3.117990
-579.050382	-36.156949	3.122995
-580.080523	-13.759530	3.128000
-581.234469	21.076813	3.133005
-581.980183	-67.936599	3.138010
-583.158549	10.243451	3.143014
-584.070719	-14.003424	3.148019
-585.145843	0.821933	3.153024
-585.996464	-51.005086	3.158029
-587.204177	26.120960	3.163034
-588.059880	7.388746	3.168038
-589.180953	-8.196017	3.173043
-589.899565	21.117428	3.178048
-590.980858	-28.788797	3.183053
-591.918914	-19.921019	3.188058
-593.052331	1.485668	3.193062
-593.914492	-43.012509	3.198067
-594.942567	-20.528107	3.203072
-596.044442	-12.317025	3.208077
-596.953554	-46.769501	3.213082
-598.021999	-36.303746	3.218086
-599.042691	9.680095	3.223091
-600.045202	-74.861498	3.228096
-601.093686	16.094956	3.233101
-602.154987	26.433066	3.238106
-603.269586	-6.595691	3.243110
-604.090865	-28.883230	3.248115
-605.084454	7.475060	3.253120
-606.233600	15.001467	3.258125
-607.016829	11.619963	3.263130
-608.136807	-23.059645	3.268134
-609.196411	-27.121287	3.273139
-610.160591	-1.566339	3.278144
-611.196414	-23.578876	3.283149
-612.157704	-15.253856	3.288154
-612.886360	-76.376146	3.293158
-614.010790	1.522278	3.298163
-615.284955	-23.299671	3.303168
-616.186992	45.030617	3.308173
-617.096610	-9.593064	3.313178
-618.103030	25.793131	3.318182
-619.100963	6.096333	3.323187
-620.078779	-29.609300	3.328192
-621.041696	-36.183685	3.333197
-622.087166	-6.518563	3.338202
-622.917165	-67.305066	3.343206
-624.066151	-6.188730	3.348211
-625.071459	0.686706	3.353216
-626.217998	12.056262	3.358221
-627.150969	-8.714854	3.363226
-628.102133	9.711186	3.368230
-629.280554	6.692664	3.373235
-630.116382	10.804605	3.378240
-631.329138	16.475120	3.383245
-632.067019	5.214717	3.388250
-633.116242	9.050343	3.393254
-633.966374	-31.294870	3.398259
-634.906815	-75.239654	3.403264
-636.295139	28.681756	3.408269
-637.235856	-27.558683	3.413274
-638.135526	-12.794158	3.418278
-639.305693	18.780101	3.423283
-640.205845	-43.146427	3.428288
-641.352732	-16.325772	3.433293
-642.127407	-47.669523	3.438298
-643.269354	-10.846293	3.443302
-644.236059	-11.396654	3.448307
-645.328564	-15.421628	3.453312
-646.136518	-32.905555	3.458317
-647.331712	-25.325364	3.463322
-648.353685	13.835163	3.468326
-649.231834	-29.542840	3.473331
-650.172446	9.138609	3.478336
-651.341187	27.440155	3.483341
-652.118876	-60.096831	3.488346
-653.096895	-7.191059	3.493350
-653.767355	-31.271309	3.498355
-654.845300	3.488793	3.503360
-655.932126	-43.848272	3.508365
-656.755057	13.749035	3.513370
-657.865640	-84.389929	3.518374
-658.986112	-29.681667	3.523379
-660.034046	-6.401241	3.528384
-660.908252	21.864709	3.533389
-662.207853	-31.157949	3.538394
-663.148823	-10.118449	3.543398
-664.125656	-14.509147	3.548403
-664.989280	-40.763356	3.553408
-666.081138	5.458352	3.558413
-667.018412	-1.412749	3.563418
-668.131802	-14.069838	3.568422
-669.089326	-11.042277	3.573427
-670.098656	36.928768	3.578432
-671.325466	14.169128	3.583437
-672.284775	22.042966	3.588442
-673.333310	54.664416	3.593446
-674.242804	34.598999	3.598451
-675.173141	-33.890401	3.603456
-676.314207	33.509037	3.608461
-676.997572	31.783350	3.613466
-678.299836	-5.248969	3.618470
-679.249302	8.656595	3.623475
-680.317587	-51.057531	3.628480
-681.295736	27.741879	3.633485
-682.517564	-19.247571	3.638490
-683.354162	23.028887	3.643494
-684.467332	96.792052	3.648499
-685.092124	-49.922464	3.653504
-686.111621	-10.725139	3.658509
-687.152154	-65.340274	3.663514
-688.302757	26.227999	3.668518
-689.368576	-10.072714	3.673523
-690.062034	34.670660	3.678528
-691.212801	-34.230201	3.683533
-692.263339	-88.854281	3.688538
-693.176400	-19.017646	3.693542
-694.366492	15.493716	3.698547
-695.271714	-19.485568	3.703552
-696.227528	10.887395	3.708557
-697.409463	9.736096	3.713562
-698.249209	-6.722368	3.718566
-699.467278	-3.466196	3.723571
-700.169844	-14.438141	3.728576
-701.234505	-56.699103	3.733581
-702.180043	-67.811758	3.738586
-703.239299	-37.452892	3.743590
-704.573878	-16.889665	3.748595
-705.293004	2.532651	3.753600
-706.398386	-11.216354	3.758605
-707.425809	-21.762084	3.763610
-708.312059	-33.396223	3.768614
-709.353521	7.474167	3.773619
-710.387931	-26.120282	3.778624
-711.322295	-12.307511	3.783629
-712.626710	-16.646477	3.788634
-713.367906	-28.719280	3.793638
-714.482284	-13.366309	3.798643
-715.501221	-75.275995	3.803648
-716.201522	-57.688322	3.808653
